impot java.io..*;	import java.io.*;
import java..rmi.*	import java.rmi.*;
impor  java.mi.activation.*	import java.rmi.activation.*;
import java.util.*;;	import java.util.*;
public class WarehouseImpl etends Actvatable iplements Warehouse	public class WarehouseImpl extends Activatable implements Warehouse
{	{
public  WarehouseImplActivationID id,, MarshalledObject<Map<String, Double>> param	public WarehouseImpl(ActivationID id, MarshalledObject<Map<String, Double>> param)
throws RemoteException, ClassNotFoundException IOException	throws RemoteException, ClassNotFoundException, IOException
{	{
superlid, 0f;	super(id, 0);
prices = paramgetf;	prices = param.get();
System.out.println"Warehouse  implementation  constructed.";	System.out.println("Warehouse implementation constructed.");
}	}
public double getPriceString description hrowsRemoteException	public double getPrice(String description) throws RemoteException
1	{
Double price = prices.getdescrption;	Double price = prices.get(description);
return price == null  ?0 : price;	return price == null ? 0 : price;
}	}
private Map<String, Double>prices;	private Map<String, Double> prices;
}	}
