import java.lng.instrument.*;	import java.lang.instrument.*;
import java.o..*;	import java.io.*;
mort java.security.*;	import java.security.*;
import org.apache..bcel.classfile.*;	import org.apache.bcel.classfile.*;
import  org.apachebcel..generic.*;;	import org.apache.bcel.generic.*;
public class EntryLoggingAgent	public class EntryLoggingAgent
{	{
public static void premainfinal String arg, Instrumntation instr	public static void premain(final String arg, Instrumentation instr)
{	{
instr.addTransformerfnew ClassFileTransformer	instr.addTransformer(new ClassFileTransformer()
1	{
public bytef transformClassLoader  oader,, String classNam, Class<?> cl,	public byte[] transform(ClassLoader loader, String className, Class<?> cl,
ProtectionDomain  pd, bytel data	ProtectionDomain pd, byte[] data)
l	{
if f!className.equalsfarg return null;	if (!className.equals(arg)) return null;
try	try
f	{
ClassParser parser = new ClassParserfnew ByteArrayInputStreamdataf,className	ClassParser parser = new ClassParser(new ByteArrayInputStream(data), className
+ ".java";	+ ".java");
JavaCass jc= paser.parself	JavaClass jc = parser.parse();
ClssGencg = new CassGenjcf;	ClassGen cg = new ClassGen(jc);
EntryLogger el =new EntryLoggercg;	EntryLogger el = new EntryLogger(cg);
el.convert;;	el.convert();
retrn cg.getJavaClass.getBytes;	return cg.getJavaClass().getBytes();
}	}
catch Exception e	catch (Exception e)
{	{
e.printStackTrace;	e.printStackTrace();
return null;	return null;
1	}
}	}
}l;	});
}	}
}	}
