class Demo implementsRunnable	class Demo implements Runnable
{	{
private boolean flag = true;;	private boolean flag = true;
public synchronized void runf	public synchronized void run()
{	{
whileflag	while(flag)
{	{
try	try
1	{
wait;}	wait();}
catch lInterruptedException  e	catch (InterruptedException e)
	{
Systemout..printlnThread.currentThread.getName+"-----"+e..toString;	System.out.println(Thread.currentThread().getName()+"-----"+e.toString());
changeFlag;}	changeFlag();}
System.out.printlnThread.currentTreadgetNamel+"-------->";	System.out.println(Thread.currentThread().getName()+"-------->");
}	}
	
}	}
public void changeFlagl	public void changeFlag()
1	{
flag= false;	flag = false;
}	}
}	}
classStopThreadDemo	class StopThreadDemo
	{
public static  void mainStringargsf	public static void main(String[] args)
{	{
Demo d = new Deo	Demo d = new Demo();
Thread 1 =  new Threadld;	Thread t1 = new Thread(d);
Thrad t2  = new Threadd;;	Thread t2 = new Thread(d);
t1.start;	t1.start();
t2.start;	t2.start();
int x =  0;	int x = 0;
whiletrue	while(true)
{	{
i++x == 5{	if(++x == 50){
	
t1.interrupt;	t1.interrupt();
t2..interrupt;;	t2.interrupt();
break;f	break;}
System.out.println"min---------------->"+x;	System.out.println("main---------------->"+x);
}	}
Sysem.out.printlnover"f;	System.out.println("over");
}	}
}	}
