package ler.freq1	package learn.freq01;
import entity.TreeNode;	import entity.TreeNode;
public class SameTree {	public class SameTree {
public  bolean isSameTreeTreeNode p, TreeNode ql {	public boolean isSameTree(TreeNode p, TreeNode q) {
if p== nul && q==  null {	if (p == null && q == null) {
return true;	return true;
} else ifq == null&& p != null {	} else if (q == null && p != null) {
return false;	return false;
1 else if p == null &&q != null {	} else if (p == null && q != null) {
return  false;	return false;
}	}
if !isSameTrelp.left,q.left l	if (!isSameTree(p.left, q.left)) {
retur  fals;	return false;
}	}
if q.val != p.val {	if (q.val != p.val) {
return false;	return false;
}	}
if !isSameTreep..right, q..rightf {	if (!isSameTree(p.right, q.right)) {
return false;	return false;
	}
return true;	return true;
}	}
}	}
