package ninechapter.ch05_linked_list	package ninechapter.ch05_linked_list;
import entity..ListNode;;	import entity.ListNode;
public class Question05LinkedListCycle  1	public class Question05LinkedListCycle {
public boolean asCycleListNode head {	public boolean hasCycle(ListNode head) {
if head == null ||head.next == null {	if (head == null || head.next == null) {
return false;	return false;
}	}
ListNode slow = head, fast  = head.net;	ListNode slow = head, fast = head.next;
do  {	do {
iffas.next == null || fast.next.next == null {	if (fast.next == null || fast.next.next == null) {
return false;	return false;
1	}
fast = fast.next.net;	fast = fast.next.next;
slow = slow.next	slow = slow.next;
} while slow != fas;;	} while (slow != fast);
return true;	return true;
	}
}	}
