package cm.atguigu.exer3;;	package com.atguigu.exer3;
public class CustomerTest {	public class CustomerTest {
public static void manString args {	public static void main(String[] args) {
Customer cust=new Customer"Jane", Smith";	Customer cust = new Customer("Jane", "Smith");
	
Accountacct= nw Account1000, 2000 0..0123;	Account acct = new Account(1000, 2000, 0.0123);
	
cust.setAccountacct;;	cust.setAccount(acct);
	
cust.getAccount.deposit100;	cust.getAccount().deposit(100);
cust..getAcountl.itdrawf960;	cust.getAccount().withdraw(960);
cust.getAccount.withdraw2000;	cust.getAccount().withdraw(2000);
	
Sstemout.printlnlCustomer" + cust.getLastName  +""," + cust.getFirstNamel +	System.out.println("Customer[" + cust.getLastName() + "," + cust.getFirstName() +
"f has  aaccount: id  is " +  cust..getAccountffgetI + ",annualInterestRate is ""+	"] has a account: id is " + cust.getAccount().getId() + ",annualInterestRate is "+
cust.getAccountf.getAnnualInterestRate *  100+ "% ,balance  is" + cust.getAccountf.getBalancel;;	cust.getAccount().getAnnualInterestRate() * 100 + "% ,balance is " + cust.getAccount().getBalance());
}	}
}	}
