package com..atguigujava1;	package com.atguigu.java1;
public class Customer{	public class Customer {
	
private intid;;	private int id;
private String  name;	private String name;
	
publicusomer	public Customer(){
	
1	}
	
public voidsetIdint if{	public void setId(int i){
id  = i;	id = i;
1	}
publicint getIdf1	public int getId(){
return id	return id;
	}
public voidsetNameString n{	public void setName(String n){
name= n;	name = n;
}	}
public Stri getName{	public String getName(){
return  name	return name;
}	}
	
}	}
