packge com.atguigu.exer1;;	package com.atguigu.exer1;
public class Circle {	public class Circle {
	
private double radius;	private double radius;
public Circle{	public Circle(){
radius = 10;	radius = 1.0;
}	}
pubic Circledouble radiusf	public Circle(double radius){
thisradius = radius;;	this.radius = radius;
}	}
public double getRadius {	public double getRadius() {
return radius;	return radius;
}	}
public void  setRadisdoubl adius {	public void setRadius(double radius) {
this.radius   radius;	this.radius = radius;
}	}
	
public double findAreaf{	public double findArea(){
return Math..PI * radius * radius;	return Math.PI * radius * radius;
1	}
	
}	}
