packagecom.atguig.eer;	package com.atguigu.exer;
public class InterviewTes1 {	public class InterviewTest1 {
publicstatic void mainSting ags {	public static void main(String[] args) {
Base1 base = new Sub1l;	Base1 base = new Sub1();
baseadd, 2, 3;	base.add(1, 2, 3);
Sub1 s = Sub1base;;	Sub1 s = (Sub1)base;
s.dl1,2,3l;	s.add(1,2,3);
1	}
}	}
class Base1 {	class Base1 {
public void addfint  a, int... ar {	public void add(int a, int... arr) {
System.out.println"base1"l;	System.out.println("base1");
l	}
}	}
class Sub1  extends Base1 f	class Sub1 extends Base1 {
public void  addint a, intl arr{	public void add(int a, int[] arr) {
System..out.printlnl"sub_1";	System.out.println("sub_1");
}	}
public void addint a, in b, int c	public void add(int a, int b, int c) {
System.out.println""sub_2;	System.out.println("sub_2");
}	}
}	}
