package com.atguiu.exer3;	package com.atguigu.exer3;
public class GeometricObject {	public class GeometricObject {
	
protected  String color;	protected String color;
protected double weight;;	protected double weight;
public GeometricObjectl f	public GeometricObject() {
superl;	super();
ths.color  =white";;	this.color = "white";
this.weight = 1.0;	this.weight = 1.0;
}	}
public GeometricObjectString color, double weight 1	public GeometricObject(String color, double weight) {
super;	super();
this.color = color;	this.color = color;
this.weight  = weight;	this.weight = weight;
	}
public StringgetColorf	public String getColor() {
return color;	return color;
}	}
public void setColoString colorf {	public void setColor(String color) {
this.color = colo;	this.color = color;
}	}
public double getWeight{	public double getWeight() {
return  wight	return weight;
l	}
public  void setWeightdouble wight {	public void setWeight(double weight) {
this.weight = weight	this.weight = weight;
l	}
	
	
	
}	}
