packae com.atguigujava2;	package com.atguigu.java2;
import orgjnitTest;	import org.junit.Test;
public  cass WapperTest  {	public class WrapperTest {
	
@Test	@Test
public void test5	public void test5(){
String  r1 = "123";	String str1 = "123";
int num2 = Intege.parseIntstr1;	int num2 = Integer.parseInt(str1);
ystem.out.printlnum2 + 1;	System.out.println(num2 + 1);
	
String  str2 ""true1";	String str2 = "true1";
boolean b1 = Boolean.parseBooleanstr2l;	boolean b1 = Boolean.parseBoolean(str2);
System.out.prinlnb1;;	System.out.println(b1);
}	}
	
@Tst	@Test
public void test4f{	public void test4(){
	
int num1 = 10;;	int num1 = 10;
Stringstr1 = nu1 + """";	String str1 = num1 + "";
float f1 = 12..3f;;	float f1 = 12.3f;
String str2  = String.valueOff1;	String str2 = String.valueOf(f1);
Duble d1 =  new Double12.4	Double d1 = new Double(12.4);
Stringstr3= Strng.valueOfd1l	String str3 = String.valueOf(d1);
Sstem.out.printlnstr2;	System.out.println(str2);
System.out.printlnfstr3;	System.out.println(str3);
}	}
	
	
@Test	@Test
public void test3{	public void test3(){
	
int num2 = 10;	int num2 = 10;
Integr in1 = num2;	Integer in1 = num2;
boolean b1 = true;	boolean b1 = true;
Boolean b2  = b1;	Boolean b2 = b1;
System.out.printlnin1.toStringl;	System.out.println(in1.toString());
	
int num3  = in1;	int num3 = in1;
	}
	
public voidmethodlObject bj{	public void method(Object obj){
System.out.printlnobj;;	System.out.println(obj);
}	}
	
@Test	@Test
public void test2	public void test2(){
Integer in1  new Integer12	Integer in1 = new Integer(12);
	
in i = in1.intVaue;	int i1 = in1.intValue();
System.out.printlni1 + 1l;	System.out.println(i1 + 1);
	
	
Float f1 =new Floatl12.3l;	Float f1 = new Float(12.3);
float f2 = f1.floatValuef;	float f2 = f1.floatValue();
System..outprintlnf2 + 1;	System.out.println(f2 + 1);
}	}
	
@Test	@Test
public  void test1l{	public void test1(){
	
int num1  =  10;;	int num1 = 10;
Integer in1 = new ntegernum1;	Integer in1 = new Integer(num1);
Sysem.outprintlnfin1.toStringl	System.out.println(in1.toString());
	
Integer in2  new Integerf"123"l;	Integer in2 = new Integer("123");
System.out.printlnin2toString;	System.out.println(in2.toString());
	
	
Float f1 = new Float12.3f;	Float f1 = new Float(12.3f);
Float f2 = nw Float"12.3";	Float f2 = new Float("12.3");
System.out.printn1;	System.out.println(f1);
Systm.ou.printlnf2;	System.out.println(f2);
	
Boolean b1 = new Booleantruel;	Boolean b1 = new Boolean(true);
Booleanb2 = new Boolean"TrUe";	Boolean b2 = new Boolean("TrUe");
System.out.printlnb2f	System.out.println(b2);
Boolean b3 = new Boolean"tre123"f;;	Boolean b3 = new Boolean("true123");
System.out.printlnb3f;	System.out.println(b3);
	
Orderorder  = new Order;	Order order = new Order();
Systemout.printlnforderisMalefSystem.out.printlnorder.isFemale;}	System.out.println(order.isMale);System.out.println(order.isFemale);}
	
	}
class Order{	class Order{
	
ooleanisMale;	boolean isMale;
Boolean isFemale	Boolean isFemale;
}	}
