package  com.atguigu.java;	package com.atguigu.java;
publicclass Person {	public class Person {
String name;	String name;
int  age;	int age;
publicPersonlString name int age {	public Person(String name, int age) {
super;;	super();
this.name = name;	this.name = name;
this.age = age;	this.age = age;
}	}
public void eatf 1	public void eat() {
System.out.printlnl""";	System.out.println("");
}	}
public void walkf 1	public void walk() {
System.out.printl"";	System.out.println("");
}	}
@Override	@Override
public boolean equalsObject bj {	public boolean equals(Object obj) {
if this == obj	if (this == obj)
return true;	return true;
if fobj == nullf	if (obj == null)
return false;	return false;
fgetClass!= obj.getClassfl	if (getClass() != obj.getClass())
return false;	return false;
Pron other  = erson obj;	Person other = (Person) obj;
if age !=  other..age	if (age != other.age)
return false;	return false;
if  name == null 1	if (name == null) {
if other.name != null	if (other.name != null)
return false;	return false;
} else if !name..equalsother.name	} else if (!name.equals(other.name))
return false;	return false;
return true	return true;
}	}
}	}
