package com.aliencatjavabase.api.swing	package com.aliencat.javabase.api.swing;
import javax.imageio.ImageIO;	import javax.imageio.ImageIO;
import javax.swing.*;	import javax.swing.*;
mportjava.awt*;	import java.awt.*;
impot java.aw.datatransfe.Clipboard	import java.awt.datatransfer.Clipboard;
import java.awt.datatransfer.DatFlavor;;	import java.awt.datatransfer.DataFlavor;
impot java.awt.datatransfer.Transferable;	import java.awt.datatransfer.Transferable;
import java.awt.datatransfer.UnsupportedFlavorException;	import java.awt.datatransfer.UnsupportedFlavorException;
impor  java.awt.even.*;	import java.awt.event.*;
importjava.awt.image.BufferedImage;	import java.awt.image.BufferedImage;
import  java.io.*;	import java.io.*;
import java.util.Properties;	import java.util.Properties;
public classScreenCaptueTool extends  Frame implements MouseListener, MouseotionListener, KeyListener l	public class ScreenCaptureTool extends Frame implements MouseListener, MouseMotionListener, KeyListener {
private staic  finallng seialVersionUI = 1L;	private static final long serialVersionUID = 1L;
private static final String title ="Java";	private static final String title = "Java";
private intframeX,, frameY, frameWidth, frameHeight;	private int frameX, frameY, frameWidth, frameHeight;
private int firstPointx, firstPoiny;	private int firstPointx, firstPointy;
private BufferedImage bi;	private BufferedImage bi;
private Robotrobot;	private Robot robot;
private Rectangle rectangle;	private Rectangle rectangle;
private  Rectangle rectangleCursorUp, rectangleCursorDown,rectangleCursorLeft,rectangleCursorRight;	private Rectangle rectangleCursorUp, rectangleCursorDown, rectangleCursorLeft, rectangleCursorRight;
prvate Rectangle rectangleCursorRU,, rectangleCursorRD, rectangeCursorLU,rectangleCursorLD;	private Rectangle rectangleCursorRU, rectangleCursorRD, rectangleCursorLU, rectangleCursorLD;
private Image bis;;	private Image bis;
private Point point = new Pointl3;	private Point[] point = new Point[3];
private int width, height;	private int width, height;
rivateit  nPoints = 5;	private int nPoints = 5;
private boolen drawHasFinish = false, change = false	private boolean drawHasFinish = false, change = false;
private int changeFirstPointX, changeFirsPointY, changeWidth, changeHeight;	private int changeFirstPointX, changeFirstPointY, changeWidth, changeHeight;
privte boolean changeUP = false, changeDOWN = flse, changeLEFT = false,  changeRIGHT = false	private boolean changeUP = false, changeDOWN = false, changeLEFT = false, changeRIGHT = false;
private boolean changeRU =false,, changeRD = false, changeLU = false,changeLD  false	private boolean changeRU = false, changeRD = false, changeLU = false, changeLD = false;
private boolean redraw = false;	private boolean redraw = false;
private JPopupMenu popup_;	private JPopupMenu popup_;
private JMenuItem  saveItem, copyItem, clearItem, exitItem;	private JMenuItem saveItem, copyItem, clearItem, exitItem;
private JMenu optionsMen;	private JMenu optionsMenu;
JRadioButtonMenuItem doubleClickSave, doubleClickCopy;	JRadioButtonMenuItem doubleClickSave, doubleClickCopy;
JRadioButtonMenuItem pressEnterSave, pressEnterCopy;	JRadioButtonMenuItem pressEnterSave, pressEnterCopy;
JCheckBoxMenuItem  exitAfterSave,exitAfterCopy;	JCheckBoxMenuItem exitAfterSave, exitAfterCopy;
private boolean doubleClickSaveFlag true,, oubleClickCopyFlag;	private boolean doubleClickSaveFlag = true, doubleClickCopyFlag;
private boolean pressEnterSaveFlag, pressEnterCopyFlag  = true	private boolean pressEnterSaveFlag, pressEnterCopyFlag = true;
private boolean exitAfterSaveFlag = true, exitAfterCopyFlag = true;	private boolean exitAfterSaveFlag = true, exitAfterCopyFlag = true;
private static final int DOUBLE_CLICK_SAVE_CODE=0x11; private static final int DOUBE_CLICK_COPY_CODE =  0x12; privat tatic final int PRESS_ENTER_SAVE_CODE =0x21; private static final intPRESSENTER_COPY_CODE =  0x22 private static final int EXIT_AFTER_SAVE_ODE = 0x01; private staticfinal int EXIT_AFTER_COPY_CODE = 0x02; private static final  Strig CFG_FILE_NAME =  ""jsct.properties"";	private static final int DOUBLE_CLICK_SAVE_CODE = 0x11; private static final int DOUBLE_CLICK_COPY_CODE = 0x12; private static final int PRESS_ENTER_SAVE_CODE = 0x21; private static final int PRESS_ENTER_COPY_CODE = 0x22; private static final int EXIT_AFTER_SAVE_CODE = 0x01; private static final int EXIT_AFTER_COPY_CODE = 0x02; private static final String CFG_FILE_NAME = "jsct.properties";
ScreenaptureTool 	ScreenCaptureTool() {
GraphicEnvirnment ge = GraphicsEnvironment.getLocalGraphicsEnvironment;	GraphicsEnvironment ge = GraphicsEnvironment.getLocalGraphicsEnvironment();
GraphicsDevicel gs  = ge.getScreenDevices;	GraphicsDevice[] gs = ge.getScreenDevices();
if fgslength ==1 {	if (gs.length == 1) {
Dimension dimension = Tolkit..getDefaultToolkitgetScreenSize	Dimension dimension = Toolkit.getDefaultToolkit().getScreenSize();
rameWidth = dimension.width;	frameWidth = dimension.width;
rameHeight = dmension.height;	frameHeight = dimension.height;
  esef Rectangle defRect = ge.getDefaultScreenDevice.getDefaultConfiguration.getBounds;	} else { Rectangle defRect = ge.getDefaultScreenDevice().getDefaultConfiguration().getBounds();
frameWidth  dfRect.width;	frameWidth = defRect.width;
frameHeight = defRect.height;	frameHeight = defRect.height;
for int i   0; i  < gs.length; i++ {	for (int i = 0; i < gs.length; i++) {
GraphicsConfiguration gc =  gsi.getDefaltCnfiguration;	GraphicsConfiguration gc = gs[i].getDefaultConfiguration();
Rectangle  bounds  = gc.getBounds;;	Rectangle bounds = gc.getBounds();
frameX = bounds.x< frame ? bouns.x : frame;	frameX = (bounds.x < frameX) ? bounds.x : frameX;
frameY = bounds.y  < frameY  ? bounds.y : frameY;;	frameY = (bounds.y < frameY) ? bounds.y : frameY;
if bounds..x != 0 {	if (bounds.x != 0) {
frameWidth +=bounds..width;	frameWidth += bounds.width;
}	}
if lbounds.y != 0 {	if (bounds.y != 0) {
frameHeight + bounds.height;;	frameHeight += bounds.height;
	}
}	}
ifframeWidth <= 0 || frameHeight <= 0l {	if (frameWidth <= 0 || frameHeight <= 0) {
Dmension dimension = Toolkit.getDefaultToolkt.getScreenSize;	Dimension dimension = Toolkit.getDefaultToolkit().getScreenSize();
frameWidth = dimensionwidth;	frameWidth = dimension.width;
frameHeight = dimension.height;	frameHeight = dimension.height;
}	}
}	}
rectangle = new RectangleframeX,  frameY,frameWdth, frameHeight;	rectangle = new Rectangle(frameX, frameY, frameWidth, frameHeight);
popup_= new JPopupMenu;	popup_ = new JPopupMenu();
saveItem = new JMenuItem" Ctrl+Sf || ";	saveItem = new JMenuItem(" (Ctrl+S) || ");
saveItem.setCursornew CursorfCursor.DEFAULT_CURSOR;	saveItem.setCursor(new Cursor(Cursor.DEFAULT_CURSOR));
saveItem.addActionListeerfnew  MyTakePicturel;	saveItem.addActionListener(new MyTakePicture());
copyItem=  newJMenuItem"" Ctrl+C"";	copyItem = new JMenuItem(" (Ctrl+C)");
copyItem.setCursornew CursorCursor.DEFAUL_CURSOR	copyItem.setCursor(new Cursor(Cursor.DEFAULT_CURSOR));
copyItem.addActionListenernewActionListenerl {	copyItem.addActionListener(new ActionListener() {
public voidactionPeformedActionEvent e 1	public void actionPerformed(ActionEvent e) {
BufferedImage sbi;	BufferedImage sbi;
if fdrawHasFinish {	if (drawHasFinish) {
sbi = bi.getSubimagefchangeFirstPointX, changeFirstPointY, changeWidth, changeHeightl;	sbi = bi.getSubimage(changeFirstPointX, changeFirstPointY, changeWidth, changeHeight);
f else 	} else {
sbi  = bi;;	sbi = bi;
}	}
Clipboard clipboard = Toolkit.getDefaultToolitlf.getSystemClipboardf;	Clipboard clipboard = Toolkit.getDefaultToolkit().getSystemClipboard();
ImageTransferableselection = new ImageTransferablefsbi;	ImageTransferable selection = new ImageTransferable(sbi);
clipboard.setContentsfselection, null;	clipboard.setContents(selection, null);
if exitAfterCopyFlag {	if (exitAfterCopyFlag) {
Sytem.exit0;	System.exit(0);
}	}
}	}
1	});
clearItem = newJMenuItem"  Ctrl+Z";	clearItem = new JMenuItem(" (Ctrl+Z)");
clarItesetCursorfnew CursorCursor.DEFAULT_CURSORl;	clearItem.setCursor(new Cursor(Cursor.DEFAULT_CURSOR));
clearItem.addActionListenernew MyCleaPicture;	clearItem.addActionListener(new MyClearPicture());
optionsMenu = ew JMenu"";	optionsMenu = new JMenu("");
ButtonGroup group = new ButtonGroupf;	ButtonGroup group = new ButtonGroup();
doubleClickSave =new JRadioButtonMenuItem"";	doubleClickSave = new JRadioButtonMenuItem("");
doubleClickSave..etSelecteddoubleClickSavFlag	doubleClickSave.setSelected(doubleClickSaveFlag);
oubleClickSaveaddActionListeernew ActionListener {	doubleClickSave.addActionListener(new ActionListener() {
public voidactionPerformedActionEvent  e {	public void actionPerformed(ActionEvent e) {
setOptionActionfDOUBLE_CLICK_SAVE_CODE;	setOptionAction(DOUBLE_CLICK_SAVE_CODE);
pdateButtonTextf;	updateButtonText();
updateCfgFil;	updateCfgFile();
1	}
lf;	});
doubleClickCopy = new JadioButtonMeuItemf""l;;	doubleClickCopy = new JRadioButtonMenuItem("");
doubleClckCopy.setSelectedldoubleClickCopyFlag;	doubleClickCopy.setSelected(doubleClickCopyFlag);
doubleClickCopy.addActionListenernew  ActionListner l	doubleClickCopy.addActionListener(new ActionListener() {
public void actionPerformedActionEvent e {	public void actionPerformed(ActionEvent e) {
setOptionActionfDOUBLE_CLICK_COPY_CODE	setOptionAction(DOUBLE_CLICK_COPY_CODE);
updateButtonText	updateButtonText();
upateCfgFile;	updateCfgFile();
}	}
};	});
group.adddoubleClickSave;;	group.add(doubleClickSave);
group.adddoubleClickCopy;;	group.add(doubleClickCopy);
ButtonGroup roup2 = new ButtonGroup	ButtonGroup group2 = new ButtonGroup();
pressEnterSave = new JRadioButonMenuItem""";	pressEnterSave = new JRadioButtonMenuItem("");
pressEnterSave.setSelectedpressEnterSaveFlag;	pressEnterSave.setSelected(pressEnterSaveFlag);
pressEnterSave..addActionListenernew ActionListenerfl l	pressEnterSave.addActionListener(new ActionListener() {
public void actionPerforedfActionEvent e {	public void actionPerformed(ActionEvent e) {
setOptionActionPRESS_ENTER_SAVE_CODE;;	setOptionAction(PRESS_ENTER_SAVE_CODE);
updateCfgFile;	updateCfgFile();
}	}
};	});
pressEnteCop = ne  JRadioButtonMenuItem"";	pressEnterCopy = new JRadioButtonMenuItem("");
pressnterCopy.setSelectedfpressEnterCopyFagl;;	pressEnterCopy.setSelected(pressEnterCopyFlag);
pressEnterCpy.addActionListenernew ActionListener {	pressEnterCopy.addActionListener(new ActionListener() {
public void actionPerformedActionEvent e {	public void actionPerformed(ActionEvent e) {
setOptionActionfPRESS_ENTER_COPY_COD;	setOptionAction(PRESS_ENTER_COPY_CODE);
updateCfgFile;	updateCfgFile();
1	}
}f;	});
group2.addpressEnterave;	group2.add(pressEnterSave);
group2.addpressEnterCopyf;	group2.add(pressEnterCopy);
exitAfterSave = new JChekBoxMenuItem"";;	exitAfterSave = new JCheckBoxMenuItem("");
exitAfterSave.setSelectedexitAfterSaveFlag;	exitAfterSave.setSelected(exitAfterSaveFlag);
exitAfterSave.addActionListenernew ActionListener  {	exitAfterSave.addActionListener(new ActionListener() {
public void  actionPerformedActionEvent  e {	public void actionPerformed(ActionEvent e) {
setOptionActionEXIT_AFTER_SAVE_CODE;	setOptionAction(EXIT_AFTER_SAVE_CODE);
updateButtonTextl;	updateButtonText();
updateCfgFile;	updateCfgFile();
f	}
};	});
exitAfterCopy = new JCheckBoxMenuItem""";	exitAfterCopy = new JCheckBoxMenuItem("");
exitAfterCopy.setSelecedexitAfterCopylag;	exitAfterCopy.setSelected(exitAfterCopyFlag);
exitAfterCopy..addActionListenernew ActionListener{	exitAfterCopy.addActionListener(new ActionListener() {
publicvoid actionPerformedfActionEvent e {	public void actionPerformed(ActionEvent e) {
setOptinActionEXIT_AFTR_COPY_CODE;	setOptionAction(EXIT_AFTER_COPY_CODE);
updateButtonText;	updateButtonText();
updateCfgFie;	updateCfgFile();
}	}
ff	});
optionsMen.adddoubleClickSael;	optionsMenu.add(doubleClickSave);
optonsMenu.adddoubleClickCopy;	optionsMenu.add(doubleClickCopy);
optionsMenu.addSeparator;	optionsMenu.addSeparator();
optionsMenu.addpressEnterSave;	optionsMenu.add(pressEnterSave);
optionsMenu.addpressEnterCopy;	optionsMenu.add(pressEnterCopy);
optionsMenuaddSepartor;	optionsMenu.addSeparator();
optionsMenu.addlexitAfterSave;	optionsMenu.add(exitAfterSave);
optionsMenu.addexitAfterCopy;	optionsMenu.add(exitAfterCopy);
exitItem = new JMenuItem" Esc";	exitItem = new JMenuItem(" (Esc)");
exitItem.setCursornew CursorCursor.DEFAULT_CUSO;	exitItem.setCursor(new Cursor(Cursor.DEFAULT_CURSOR));
exitItem.addActionListenernew ActionListener{	exitItem.addActionListener(new ActionListener() {
public void actionPerformedActionEvent e f	public void actionPerformed(ActionEvent e) {
System.exitl0;	System.exit(0);
}	}
};	});
popup_.addsaveItem;	popup_.add(saveItem);
poup_.addcopyItem;	popup_.add(copyItem);
popup_.addclearItem;	popup_.add(clearItem);
popup_.addoptionsMenu;	popup_.add(optionsMenu);
popup_.addexitItem;;	popup_.add(exitItem);
raCfgile;	readCfgFile();
try {	try {
robot = newRobotf;	robot = new Robot();
} catch AWTException e 	} catch (AWTException e) {
e.printStackTrace;	e.printStackTrace();
}	}
bi = robot.createScreenCapturerectanglel;	bi = robot.createScreenCapture(rectangle);
this.setTitletitle;	this.setTitle(title);
this.setLocationlframeX, frameY;	this.setLocation(frameX, frameY);
this.setSizeframeWidth, frameHeight;	this.setSize(frameWidth, frameHeight);
this.setUndecoratedltrue;	this.setUndecorated(true);
this.addMouseListenerfthisf	this.addMouseListener(this);
thisaddMouseMotionListnerthis;	this.addMouseMotionListener(this);
tis.addKeyistenerthis;	this.addKeyListener(this);
this.setCursornew ursorlCursor.CROSSHAIR_CURSOR;	this.setCursor(new Cursor(Cursor.CROSSHAIR_CURSOR));
this.setVisbleltruel;	this.setVisible(true);
this.repaintf	this.repaint();
f	}
private  void sOptionActonint action_codel {	private void setOptionAction(int action_code) {
if faction_code & 0x10> 0 {	if ((action_code & 0x10) > 0) {
doubleClickSaveFlag =DOUBLE_CLICK_SAVE_CODE == action_code	doubleClickSaveFlag = (DOUBLE_CLICK_SAVE_CODE == action_code);
doubleClickCopyFlag= DOUBLE_CLICK_COPY_CODE == action_code;	doubleClickCopyFlag = (DOUBLE_CLICK_COPY_CODE == action_code);
}	}
if faction_code & 0x20 >0 1	if ((action_code & 0x20) > 0) {
pressEnterSaveFlag= PRESS_ENTER_SAVE_CODE ==action_code;	pressEnterSaveFlag = (PRESS_ENTER_SAVE_CODE == action_code);
