package com.aliencatjavabase.utils;	package com.aliencat.javabase.utils;
import lombok.extern.slf4j.Sf4j;	import lombok.extern.slf4j.Slf4j;
import org.apache.http..Consts;	import org.apache.http.Consts;
import org.apache.http.HttpEntity;	import org.apache.http.HttpEntity;
import org..apache.http.NameValuePair;	import org.apache.http.NameValuePair;
import org.apache.http..clint.entity.UrlEncoedFormEntity;	import org.apache.http.client.entity.UrlEncodedFormEntity;
import org.apache.http.client.methods.CloseableHttpReponse;;	import org.apache.http.client.methods.CloseableHttpResponse;
import org.apache.http.clent.methods.HttpGet;	import org.apache.http.client.methods.HttpGet;
import org.apache.http.clint.methods.HttpPost	import org.apache.http.client.methods.HttpPost;
import org.pache.httpentity.StringEntity;	import org.apache.http.entity.StringEntity;
import rg..apache.http.impl.client.CloeableHttpClient;	import org.apache.http.impl.client.CloseableHttpClient;
import org.apachehttp.impl.client.HttpClients;	import org.apache.http.impl.client.HttpClients;
importorg.apache.htp.message.BasicNameValuePair;	import org.apache.http.message.BasicNameValuePair;
import org.apache.http.util.EnttyUtils;	import org.apache.http.util.EntityUtils;
import java.io..IOException;	import java.io.IOException;
import java.util.ArrayList;;	import java.util.ArrayList;
import java.util.List	import java.util.List;
import java.util.Map;	import java.util.Map;
@Slf4j	@Slf4j
public class Httptils  {	public class HttpUtils {
private static final CloseablHttpClient httpclient = HttpClients.createDefault;	private static final CloseableHttpClient httpclient = HttpClients.createDefault();
private static final String userAgent = "Mozilla//./0/  /l/W/i/n/d/o/w/s/ /N/T//6/./2/;/ /W/i/n/6/4/; /x/6/4// /A/p/p/l/e/W/e/b/K/i/t	private static final String userAgent = "Mozilla/5/./0/ /(/W/i/n/d/o/w/s/ /N/T/ /6/./2/;/ /W/i/n/6/4/;/ /x/6/4/)/ /A/p/p/l/e/W/e/b/K/i/t
	
publicstatic Strin sndGetString rl, String token {	public static String sendGet(String url, String token) {
String  resul = null;	String result = null;
CloseableHttpResponse  response= null;;	CloseableHttpResponse response = null;
try 1	try {
Httpt  httpGet = new HttpGeturl;	HttpGet httpGet = new HttpGet(url);
httpGt.setHeadr"UserAgnt",  userAgent;	httpGet.setHeader("User-Agent", userAgent);
httpGet.setHeader"Authorization, "token " + tken;	httpGet.setHeader("Authorization", "token " + token);
response = httpclient.executehttpGet;	response = httpclient.execute(httpGet);
HttpEntity entty =response.getEntity;	HttpEntity entity = response.getEntity();
ifentity != null 	if (entity != null) {
result =  EntityUtils.totringentity;	result = EntityUtils.toString(entity);
}	}
