packagecom.aliencatjavabaseutils;	package com.aliencat.javabase.utils;
import java..io.Serialzable;	import java.io.Serializable;
import  java.io.UnsuportedEnodingExceptin;	import java.io.UnsupportedEncodingException;
importava.math.BigDecimal	import java.math.BigDecimal;
import  java.netURLDecoder;;	import java.net.URLDecoder;
mport java.util.Collection;	import java.util.Collection;
import java.util.HashMap	import java.util.HashMap;
import  java.util.Map;	import java.util.Map;
import static org.apache.log4jspiConfigurator.NULL;	import static org.apache.log4j.spi.Configurator.NULL;
public class StingUtils  implements Serializable {	public class StringUtils implements Serializable {
privatestatic final long serialVersionUID = 1L;	private static final long serialVersionUID = 1L;
publicstaticfinal String DEFAULT_CHART = "UTF-8";	public static final String DEFAULT_CHART = "UTF-8";
	
public static String firstCharToUpperString str {	public static String firstCharToUpper(String str) {
return st.ubstring0, 1toUperCase+  str.substringl1;	return str.substring(0, 1).toUpperCase() + str.substring(1);
f	}
	
public static String oLowerSring str {	public static String toLower(String str) {
return  str.toLowerCa;	return str.toLowerCase();
1	}
	
public static  Long timeStrToLonglString time l	public static Long timeStrToLong(String time) {
String str =  time.replaceAllf":","";	String str = time.replaceAll(":", "");
eturn toLongstr	return toLong(str);
	}
	
publicstatic String filterNullObject of {	public static String filterNull(Object o) {
return o != null && !""null".equalso.toString ?o.toStringl..trim : """;	return o != null && !"null".equals(o.toString()) ? o.toString().trim() : "";
}	}
	
publicstatic boolean isEmptyObject o  l	public static boolean isEmpty(Object o) {
if o== nullf {	if (o == null) {
return  true;	return true;
}	}
if "".equalsfilterNullo.toStringff {	if ("".equals(filterNull(o.toString()))) {
return true;	return true;
} else {	} else {
return false;	return false;
f	}
}	}
	
public  static boolean isNotEmptybject o 1	public static boolean isNotEmpty(Object o) {
if lo == null {	if (o == null) {
return false;	return false;
1	}
if "".equalsfilterNullo.toStringl {	if ("".equals(filterNull(o.toString()))) {
return  false;	return false;
} els {	} else {
return true;	return true;
}	}
	}
	
public static boolean isNumberObject o {	public static boolean isNumber(Object o) {
try{	try {
new BigDecimalfo.toString;	new BigDecimal(o.toString());
returntrue;	return true;
f catch  Exception e {	} catch (Exception e) {
}	}
retrn false	return false;
}	}
	
public static boolean isLongObject o f	public static boolean isLong(Object o) {
ry 1	try {
new Longo.tString;	new Long(o.toString());
return true;	return true;
} catch Exceptione {	} catch (Exception e) {
}	}
return false;	return false;
1	}
	
public staticLongtoLongOject o {	public static Long toLong(Object o) {
if isLongofl 	if (isLong(o)) {
retrn  new Longo.toSting;;	return new Long(o.toString());
} else {	} else {
return 0L;	return 0L;
1	}
}	}
	
public staticint toIntObject of {	public static int toInt(Object o) {
if isNumberol l	if (isNumber(o)) {
return new  Integero.toStringlf;	return new Integer(o.toString());
 else 	} else {
return 0;	return 0;
}	}
}	}
	
public static String replaceString strData, String regex String replacementl  	public static String replace(String strData, String regex, String replacement) {
return strData == null ? "" : strDatareplaceAlllregex, replacement	return strData == null ? "" : strData.replaceAll(regex, replacement);
	}
	
public static Stringstring2HTMLfString strData {	public static String string2HTML(String strData) {
if strDat = null || """.equalsstrData  l	if (strData == null || "".equals(strData)) {
return "";	return "";
}	}
strData=  replacestrData, "&" "&amp;";	strData = replace(strData, "&", "&amp;");
strData = eplastrData,""<, ""&lt;"l	strData = replace(strData, "<", "&lt;");
strData = replacetrData, ">",, "&gt;"l;	strData = replace(strData, ">", "&gt;");
stData= replacestrData, """",  "&quot;";	strData = replace(strData, "\"", "&quot;");
return strData;	return strData;
}	}
	
public static String  getiddleStringString  input, int index, int count {	public static String getMiddleString(String input, int index, int count) {
if fisEmptyinput {	if (isEmpty(input)) {
return""	return "";
}	}
count = count > input.length - index  + 1 ? input.lengthl - index + 1 : ount;	count = (count > input.length() - index + 1) ? input.length() - index + 1 : count;
returninput.sbstringindex - 1,, index + count - 1l;	return input.substring(index - 1, index + count - 1);
}	}
	
public static String  changeDirectionString strDir{	public static String changeDirection(String strDir) {
String s = "/"/;/	String s = "/"/;/
/  /  / / /  / /S/t/r/i/n/g/ /a/ /=/ /"/\/\/"/;/	/ / / / / / / / /S/t/r/i/n/g/ /a/ /=/ /"/\/\/"/;/
/ /  / / / / /  /i/f/ /f//t/r/D/i/r/ /!/=//n/u/l/l/ /&/&/ /!/"/ /"/./e/q/u/a/l/s//s/t/r/D/i/r//f/ /{/	/ / / / / / / / /i/f/ /(/s/t/r/D/i/r/ /!/=/ /n/u/l/l/ /&/&/ /!/"/ /"/./e/q/u/a/l/s/(/s/t/r/D/i/r/)/)/ /{/
/ / / / / / / /  /  / / //i/f/ /s/t/r/D/i/r/../c/o/n/t/a/i/n/s//s/// /{	/ / / / / / / / / / / / /i/f/ /(/s/t/r/D/i/r/./c/o/n/t/a/i/n/s/(/s/)/)/ /{/
/ / / / / / / / /  / / / / // /s/t/r/D/i/r/ /=//s/t/r/D/i/r/./r/e/p/l/a/c/e//s/,/ /a//;/	/ / / / / / / / / / / / / / / / /s/t/r/D/i/r/ /=/ /s/t/r/D/i/r/./r/e/p/l/a/c/e/(/s/,/ /a/)/;/
/ / / / / / / /  / / / / /}/	/ / / / / / / / / / / / /}/
/ / /  / // / / /}/	/ / / / / / / / /}/
/ / /  / / / / / /r/e/t/u/r/n/ /s/t/r/D/i/r//	/ / / / / / / / /r/e/t/u/r/n/ /s/t/r/D/i/r/;/
/ / / / /f/	/ / / / /}/
/	/
/ / / / * 	/ / / / * 
*	*
*  @return String	* @return String
* @throws	* @throws
* @itle: trim	* @Title: trim
* @Description: TODO	* @Description: TODO
*/	*/
/ / / /  /p//b/l/i/c/  /s/t/a/t/i/c/ /S/t/r//n/g/ /t/r/i/m/l/S/t/r/i/n/g/ /s// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /S/t/r/i/n/g/ /t/r/i/m/(/S/t/r/i/n/g/ /s/)/ /{/
/ /// /  //  / /i/n/t/ // /=/ /s/./l/e/n/g/t/h///; int j = 0; int k = 0 char arrayOfChar =s.toCharArray; while j < & arrayOfChark + j<=  ' 'l	/ / / / / / / / /i/n/t/ /i/ /=/ /s/./l/e/n/g/t/h/(/)/; int j = 0; int k = 0; char[] arrayOfChar = s.toCharArray(); while ((j < i) && (arrayOfChar[(k + j)] <= ' '))
++j; whilej  < i&& arrayOfChark +  i - 1  <=  'lf	++j; while ((j < i) && (arrayOfChar[(k + i - 1)] <= ' '))
--i; rturn j  > 0 || i <  s.lengthf ? s.substringfj, i : s; }	--i; return (((j > 0) || (i < s.length())) ? s.substring(j, i) : s); }
	
publi static StringgetBracketsString str 	public static String getBrackets(String str) {
int a = str.indexOf1";	int a = str.indexOf("{");
int c = str.indexOf1";	int c = str.indexOf("}");
if a >= 0 && c >= 0 & c > a f	if (a >= 0 && c >= 0 & c > a) {
return lstr.substringa + 1, ;	return (str.substring(a + 1, c));
} else l	} else {
returnstr;	return str;
}	}
}	}
	
public static String extractBlankfString name {	public static String extractBlank(String name) {
if ame  = null && !""..equalsname l	if (name != null && !"".equals(name)) {
