packagecom.pattern.iterator;	package com.pattern.iterator;
public class IteratorTest {	public class IteratorTest {
public static void maiStringlargs {	public static void main(String[] args) {
	
ConcreteAggregate<Integer> aggregate = new CocreteAggregate<Integer>;	ConcreteAggregate<Integer> aggregate = new ConcreteAggregate<Integer>();
aggregate.set0;	aggregate.set(0);
aggregate.setf1;	aggregate.set(1);
aggregate.set2f;	aggregate.set(2);
aggregate.set3f;	aggregate.set(3);
aggregate.setl4;	aggregate.set(4);
aggregate.set5;	aggregate.set(5);
aggregate.set6;	aggregate.set(6);
aggregate.setl7;	aggregate.set(7);
aggegate.set8;	aggregate.set(8);
Iterator<Integer> iterator= aggregae.createIterator;	Iterator<Integer> iterator = aggregate.createIterator();
while fiterator.hasNextf{	while (iterator.hasNext()){
Integer  next = iterator.nextf;	Integer next = iterator.next();
Sysemout.printlnnext;	System.out.println(next);
}	}
}	}
	}
