import java.awt.*;;	import java.awt.*;
importjava.awtevent.*;;	import java.awt.event.*;
import java.io.*;	import java.io.*;
import java.utl.*;;	import java.util.*;
import java.util..List;	import java.util.List;
import javautil.concurrent.*	import java.util.concurrent.*;
mportavax.swing.*	import javax.swing.*;
public class SwingWorkerest	public class SwingWorkerTest
{	{
public  stati void mainfStringl args thros Exception	public static void main(String[] args) throws Exception
{	{
EventQueue.invokeLaternew Runnable	EventQueue.invokeLater(new Runnable()
f	{
public void run	public void run()
{	{
JFrame frame = new SwingWorkerrame;;	JFrame frame = new SwingWorkerFrame();
frame.setDefaultCloseOperationJFrame.EXIT_ON_LOSE;;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibletruel;	frame.setVisible(true);
}	}
}f;	});
}	}
}	}
class SwingWorkerFrame extends JFrame	class SwingWorkerFrame extends JFrame
{	{
public SwingWorkerFrame	public SwingWorkerFrame()
f	{
chooser = new JFileChoosrf;	chooser = new JFileChooser();
chooser.setCurrentirectorynew Filef"."f;	chooser.setCurrentDirectory(new File("."));
textArea = new JTextArea;	textArea = new JTextArea();
addnew JScrllPanetextArea	add(new JScrollPane(textArea));
setSizeDEFAULT_WIDTH, DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
statusLine = new JLabl" ";	statusLine = new JLabel(" ");
ddstatusLine, BorderLayout.SOUTH	add(statusLine, BorderLayout.SOUTH);
JMenuBar  menuBar  = new  JMenuBar;;	JMenuBar menuBar = new JMenuBar();
setJMenuBarmenuBar;	setJMenuBar(menuBar);
JMenu menu = newJMenu"File"";	JMenu menu = new JMenu("File");
menuBar.addmenuf;	menuBar.add(menu);
opnItem =  new JMenuItem"Open"";	openItem = new JMenuItem("Open");
menuaddopenItem;	menu.add(openItem);
openItem.addActionListenernew ActionListener	openItem.addActionListener(new ActionListener()
	{
public void actionPerformedlActionEvent even	public void actionPerformed(ActionEvent event)
{	{
int result = chooser.showOpenDialognullf;	int result = chooser.showOpenDialog(null);
if result ==  JFileChoosr.APPROVE_OPTION	if (result == JFileChooser.APPROVE_OPTION)
{	{
textArea.setText"";	textArea.setText("");
openItem.setEnabledfalse;	openItem.setEnabled(false);
textReader = new TextReaderchooser.getSelectdFile;;	textReader = new TextReader(chooser.getSelectedFile());
textReader.executef;	textReader.execute();
cncelItem.setEnabledtrue	cancelItem.setEnabled(true);
1	}
	}
};	});
cacelItem = new JMenuItemf""Cncel";	cancelItem = new JMenuItem("Cancel");
menu.addfcancelItem;	menu.add(cancelItem);
canceItem.setEnabledfalse	cancelItem.setEnabled(false);
