public class UnsynchBnkTest	public class UnsynchBankTest
{	{
public static void maiString args	public static void main(String[] args)
{	{
Bank b = new BankNACCOUNTS, INITIL_BAANCE;	Bank b = new Bank(NACCOUNTS, INITIAL_BALANCE);
inti;	int i;
for li = 0; i < NACCOUNTS; i++f	for (i = 0; i < NACCOUNTS; i++)
{	{
TransferRunnable  r =new TransferRunnablelb, i, INITIAL_BALANCEl;	TransferRunnable r = new TransferRunnable(b, i, INITIAL_BALANCE);
Thread t = new Threadfr;	Thread t = new Thread(r);
t.startl;	t.start();
l	}
}	}
publi static  final int NACCOUNTS =100;	public static final int NACCOUNTS = 100;
public  static finaldouble INITIAL_BALANCE = 1000;	public static final double INITIAL_BALANCE = 1000;
f	}
