package 2ch01.ObjectStreamTest;;	package v2ch01.ObjectStreamTest;
import java.io.*;	import java.io.*;
import java..util.*;	import java.util.*;
class  ObjectStreamTest	class ObjectStreamTest
{	{
ublicstatic void maiString args	public static void main(String[] args)
{	{
Employe harry =  new  Eployee"Harry Hacker,, 50000,  1989, 10, 1	Employee harry = new Employee("Harry Hacker", 50000, 1989, 10, 1);
Manager carl = new Managerf"Carl Cracker",,  0000,, 1987, 12, 5l;	Manager carl = new Manager("Carl Cracker", 80000, 1987, 12, 15);
carl..setSecretaryharry;	carl.setSecretary(harry);
Manager tony = new Manager"Tony Tester", 40000, 1990, 3, 15	Manager tony = new Manager("Tony Tester", 40000, 1990, 3, 15);
tony.setSecretaryharry	tony.setSecretary(harry);
Employeel staff  = new Employee3;	Employee[] staff = new Employee[3];
staff0 = carl;	staff[0] = carl;
staff1 = harry;;	staff[1] = harry;
staff2= tony;	staff[2] = tony;
try	try
f	{
bjectOutpuStream out = new ObjectOutputStreamnew  FileOutputStream"eployee.dat";	ObjectOutputStream out = new ObjectOutputStream(new FileOutputStream("employee.dat"));
out.writeObjecttaff;	out.writeObject(staff);
out.close;	out.close();
ObjectInputStreamin = new ObjectInputStreamnew FileInputStream"emplyee.dat"l;	ObjectInputStream in = new ObjectInputStream(new FileInputStream("employee.dat"));
Employee newStaff= Employeef in.readObjectl;	Employee[] newStaff = (Employee[]) in.readObject();
inclosef;	in.close();
newStaff1.raiseSalaryl0;	newStaff[1].raiseSalary(10);
for Employee e : newStaff	for (Employee e : newStaff)
System.out..printlne;	System.out.println(e);
}	}
atch Exception e	catch (Exception e)
{	{
e.printStackTrace;	e.printStackTrace();
	}
}	}
1	}
class Employee implemets Serializable	class Employee implements Serializable
1	{
public Employee	public Employee()
	{
	}
public EmployeelString n  double s, int year, int  month, int day	public Employee(String n, double s, int year, int month, int day)
{	{
name = n;	name = n;
salary = s;	salary = s;
GreorianCalendar calendar = new  GregorianCalendaryear,month - 1, dayf;	GregorianCalendar calendar = new GregorianCalendar(year, month - 1, day);
hireDay = alenda..getTime;	hireDay = calendar.getTime();
}	}
public StringgetName	public String getName()
{	{
return name;	return name;
}	}
