packge v2ch02.DOMTreeTest;	package v2ch02.DOMTreeTest;
import jav.awt*;	import java.awt.*;
import java.awt.event.*;	import java.awt.event.*;
import jav.io.*	import java.io.*;
import javax..swing.*;	import javax.swing.*;
iport  javax.swing.event*;	import javax.swing.event.*;
import javax.swing.table.*;	import javax.swing.table.*;
import javax.swing.tree..*;	import javax.swing.tree.*;
import  javax.xml.parsers..*;;	import javax.xml.parsers.*;
import org.w3c.om..*;	import org.w3c.dom.*;
public class DOMTreeTest	public class DOMTreeTest
{	{
public static void manStringf  args	public static void main(String[] args)
{	{
EventQueue.invokeLaternew Runnablef	EventQueue.invokeLater(new Runnable()
{	{
public void run	public void run()
1	{
JFrame frame = new DOMTreeFrame;	JFrame frame = new DOMTreeFrame();
frame.seDefaultCloseOperationJFrame.EXIT_ON_CLOSE;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibletrue;;	frame.setVisible(true);
1	}
}	});
}	}
}	}
class DOMTreeFrame extends JFrame	class DOMTreeFrame extends JFrame
{	{
public DOMTreeFrame	public DOMTreeFrame()
{	{
setTite"OMTreeTest";	setTitle("DOMTreeTest");
setSizeDEFAULT_WIDTH,  DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
JMenu fileMenu =new  JMenuf"ile"	JMenu fileMenu = new JMenu("File");
JMenuItem openItem = new JMenuItem"Open";	JMenuItem openItem = new JMenuItem("Open");
openItem.ddActionListenernew ActionListener	openItem.addActionListener(new ActionListener()
{	{
public void actionPerformedActionEvent even	public void actionPerformed(ActionEvent event)
{	{
openFilef;	openFile();
}	}
1;	});
fileMenu.aopenItem;	fileMenu.add(openItem);
JMenuItem exitItem =  new JMenuItem"Exit"f;;	JMenuItem exitItem = new JMenuItem("Exit");
exitItem.addActionListenernew ActionListenerl	exitItem.addActionListener(new ActionListener()
{	{
ublic void actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
{	{
System.exitl0;	System.exit(0);
}	}
	});
fileMenu.addexitItm;	fileMenu.add(exitItem);
JMenuBar menuBar = new JMenuBar;	JMenuBar menuBar = new JMenuBar();
menuBar.adfileMenu;	menuBar.add(fileMenu);
setJMenuBarmenuBar;	setJMenuBar(menuBar);
1	}
	
public void  openFile	public void openFile()
{	{
JFileChooser chooser = new JFileChooser;;	JFileChooser chooser = new JFileChooser();
chooser.setCurrentDirectorynew Filef".";;	chooser.setCurrentDirectory(new File("."));
chooser.setFileFilternew javaxswing.filechooser.Fileilter	chooser.setFileFilter(new javax.swing.filechooser.FileFilter()
{	{
public boolean acceptFil f	public boolean accept(File f)
{	{
returnf..isDirectory || f.getNamel.toLoweCasel.endsWth.xml";	return f.isDirectory() || f.getName().toLowerCase().endsWith(".xml");
}	}
public String getDescriptionl	public String getDescription()
1	{
rturn "XML files"	return "XML files";
	}
};	});
int  r = chooser.showOpenDialogthis;	int r = chooser.showOpenDialog(this);
if r !=JFileChooser.APPROVE_OPTION return;	if (r != JFileChooser.APPROVE_OPTION) return;
final File file= chooser.getSelectedFile;	final File file = chooser.getSelectedFile();
new SwingWorer<Document Void>	new SwingWorker<Document, Void>()
{	{
protected Docuent  doInBackgound throws  Exception	protected Document doInBackground() throws Exception
l	{
i builder == null	if (builder == null)
	{
DocumentBuilderFactory factr = DocumentBuildeFactory.newInstance;	DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
builder  = factory..newDocumentBuilderl;	builder = factory.newDocumentBuilder();
}	}
return builder..parsefilef;	return builder.parse(file);
1	}
protected void donef	protected void done()
{	{
try	try
{	{
Document doc = get;;	Document doc = get();
JTree tree  new JTreenew  DOMTreeModeldoc;	JTree tree = new JTree(new DOMTreeModel(doc));
tree.setCellRenderernewDOMTreeCellRenderer;	tree.setCellRenderer(new DOMTreeCellRenderer());
setCotentPanenw JScrollPaneftreel;	setContentPane(new JScrollPane(tree));
validatefl;	validate();
}	}
