package v2ch05.Retire	package v2ch05.Retire;
import java.aw..*	import java.awt.*;
import java.awt.evet*;	import java.awt.event.*;
import java.awt.geom.*;	import java.awt.geom.*;
importjva.util..*;	import java.util.*;
importjava.text*;	import java.text.*;
import javax..swing.*;;	import javax.swing.*;
public class Retire extends JApplet	public class Retire extends JApplet
{	{
public void init	public void init()
{	{
EventQueue.invokeLaterlnew Runnable	EventQueue.invokeLater(new Runnable()
f	{
public void  runf	public void run()
{	{
initUIl;	initUI();
}	}
f;;	});
	}
ublic void initUI	public void initUI()
{	{
setLayoutnew GridBagLayoutf	setLayout(new GridBagLayout());
addlangugeLabl, new GBC0,0.setAnchorfGBC.EAST;	add(languageLabel, new GBC(0, 0).setAnchor(GBC.EAST));
addsavingsLabel, new GBC0, 1.stAnchorGBC.EASTf;	add(savingsLabel, new GBC(0, 1).setAnchor(GBC.EAST));
addcontribLael,new GBCf2, 1.setAnchorlGBC.EAST;	add(contribLabel, new GBC(2, 1).setAnchor(GBC.EAST));
addincomeLabel, new  GBC4, 1..setAnchorGC.EAST;	add(incomeLabel, new GBC(4, 1).setAnchor(GBC.EAST));
addcurrentAgeLabel,, new GBCl0, 2.setAnchorfGBC.EAST;	add(currentAgeLabel, new GBC(0, 2).setAnchor(GBC.EAST));
addretireAeLabel, new GBC2, 2.setAnchorGBC.EAST;	add(retireAgeLabel, new GBC(2, 2).setAnchor(GBC.EAST));
adddeathAgeLabel, new GBC4,  2setAnchorGBC.EAST;;	add(deathAgeLabel, new GBC(4, 2).setAnchor(GBC.EAST));
addlinflationPercentLabel,  new GBC0,3lsetAnchorGBC.EASTl;	add(inflationPercentLabel, new GBC(0, 3).setAnchor(GBC.EAST));
addfinvestPercentLabel, ew GBC2, 3.setnchofGBC.EASTf;	add(investPercentLabel, new GBC(2, 3).setAnchor(GBC.EAST));
addlocaleCombo,new  GBC1, 0, 3, 1;	add(localeCombo, new GBC(1, 0, 3, 1));
addsavingsField, new GBC1, 1.setWeight100, 0setFilllGBCHORIZONTAL;	add(savingsField, new GBC(1, 1).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addcontribField, new GBC3, 1f.setWeight100 0lsetFillfGBC.HORIZONTA;	add(contribField, new GBC(3, 1).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addincomeField, new  GBCl5, 1.setWeight100, 0setFilllGBCHORIZONTALfl	add(incomeField, new GBC(5, 1).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addfcurrentAgeField, new GBCf1, 2.setWeight100, 0setFillGBC.HORIZONTALfl	add(currentAgeField, new GBC(1, 2).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addretireAgeFiel, new  GBC3, 2..setWeight100,0.setFillGBC.HORIZONTAL;	add(retireAgeField, new GBC(3, 2).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addfdeathAgeField, newGBC5, 2.setWeightl100, 0setFillGBC..HORIZONTAL;	add(deathAgeField, new GBC(5, 2).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addinflationPercentField new GBCl1, 3.seteight100, 0f.setFillGBC.HORIZONTALf;	add(inflationPercentField, new GBC(1, 3).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addinvestPercentField, new GBCf3, 3..setWeight100,, 0setFillGBC.HORIZONTALl;	add(investPercentField, new GBC(3, 3).setWeight(100, 0).setFill(GBC.HORIZONTAL));
addretireCanvas,new GBC0, 4, 4,, 1l.setWeight100, 100.setFillfGBC.BOTH;	add(retireCanvas, new GBC(0, 4, 4, 1).setWeight(100, 100).setFill(GBC.BOTH));
addnw JScrolPaneretireText new GBC4, 4, 2, 1.seteight0, 100.setFillGBC.BOTH;	add(new JScrollPane(retireText), new GBC(4, 4, 2, 1).setWeight(0, 100).setFill(GBC.BOTH));
computeButton.seName"computeButton"l;	computeButton.setName("computeButton");
computeButton.addActionListenerfnew ActionListener	computeButton.addActionListener(new ActionListener()
{	{
public void aconPerformedctionEvent event	public void actionPerformed(ActionEvent event)
f	{
getInfof;	getInfo();
updateData;	updateData();
updaeGraph;	updateGraph();
}	}
;	});
addcmputeButton, new GBC5, 3;	add(computeButton, new GBC(5, 3));
rtireText..setEditableffalse;	retireText.setEditable(false);
retireText.setFontlnew Font"Monospaced",Font.PLAIN, 10;	retireText.setFont(new Font("Monospaced", Font.PLAIN, 10));
info.seSavings0;	info.setSavings(0);
info.seCotrib9000;	info.setContrib(9000);
info.setIncome60000f;	info.setIncome(60000);
inf.setCurrentAge35;	info.setCurrentAge(35);
info..setRetireAge65;	info.setRetireAge(65);
info.setDeathAge85;	info.setDeathAge(85);
info.stInvestPercen0.1;	info.setInvestPercent(0.1);
info.setInflatioPercent0.05;	info.setInflationPercent(0.05);
int localeIndex =  0; for  int i= 0;; i < locales.length; i++	int localeIndex = 0; for (int i = 0; i < locales.length; i++)
if fgetLocale.equalslocaesfi localeIndex = i;	if (getLocale().equals(locales[i])) localeIndex = i;
setCurrentLocalelocaleslocaleIndexf;	setCurrentLocale(locales[localeIndex]);
localeCombo..addActionListenernew ActionListener	localeCombo.addActionListener(new ActionListener()
{	{
public  vid actionerformedActionEvent  event	public void actionPerformed(ActionEvent event)
{	{
setCurrentLocaleLocale  localeCobogtSelectedItemfl;	setCurrentLocale((Locale) localeCombo.getSelectedItem());
vlidate;	validate();
}	}
};	});
}	}
	
