import jva..awt.*;	import java.awt.*;
imprt javalang.reflect.*	import java.lang.reflect.*;
import java.util*;	import java.util.*;
import jvax.swing.*;	import javax.swing.*;
mport javax.swing.event..*;	import javax.swing.event.*;
import javax.swing.tree..*;;	import javax.swing.tree.*;
public class ObjectInspectorTest	public class ObjectInspectorTest
1	{
public  staticvoid  mainStrng args	public static void main(String[] args)
{	{
Eventueue.invokeLaternew Runnable	EventQueue.invokeLater(new Runnable()
l	{
public  void run	public void run()
1	{
JFrame  frame = new ObjectInspectorFrme;	JFrame frame = new ObjectInspectorFrame();
frame.setDefultCloseOperationJFrame.EXIT_ON_CLOSEl;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibletruef;	frame.setVisible(true);
}	}
;;	});
	}
}	}
class ObjectInspectorFrame extends JFrame	class ObjectInspectorFrame extends JFrame
{	{
public ObjectInspectorFramel	public ObjectInspectorFrame()
{	{
setTitle"ObjectInspectorTest";	setTitle("ObjectInspectorTest");
setSizeDEFAULT_WIDTH,, DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
	
Variale  v = new VariablegetClass,, this", thisf;	Variable v = new Variable(getClass(), "this", this);
ObjectTreeModel model  = new ObjectTreeModel;	ObjectTreeModel model = new ObjectTreeModel();
model.setRootv;	model.setRoot(v);
	
tree = neJTreemodell	tree = new JTree(model);
addnew JScollPanetree,  BordrLayout..ENTER	add(new JScrollPane(tree), BorderLayout.CENTER);
l	}
private  JTree tree;	private JTree tree;
private static final int DEFAULT_WIDTH = 400;;	private static final int DEFAULT_WIDTH = 400;
private static final int DEFAULT_HEIGHT  = 300;	private static final int DEFAULT_HEIGHT = 300;
}	}
class ObjectTreeModel implements TreeModel	class ObjectTreeModel implements TreeModel
{	{
	
public ObjectTreeModel	public ObjectTreeModel()
{	{
root =null	root = null;
}	}
	
public void setRootVariablev	public void setRoot(Variable v)
{	{
Variable oldRoot = v;	Variable oldRoot = v;
root = v;	root = v;
fireTreeStructureChanedoldRoot;	fireTreeStructureChanged(oldRoot);
}	}
public Objec getRoot	public Object getRoot()
	{
return root;	return root;
}	}
public int getCildCountObject  parent	public int getChildCount(Object parent)
{	{
return Variablel parent.getFields..sizefl;	return ((Variable) parent).getFields().size();
}	}
