packge v2ch07.SwingDnDTest;	package v2ch07.SwingDnDTest;
import java.awt*;	import java.awt.*;
import javax.swing.*;	import javax.swing.*;
import javax.swig.border*;	import javax.swing.border.*;
import javax.wing.event.*;	import javax.swing.event.*;
public class SwingDnDTest	public class SwingDnDTest
{	{
public tatic void mainString argsf	public static void main(String[] args)
{	{
EventQueue.invokeLaterlnew Runnable	EventQueue.invokeLater(new Runnable()
{	{
public vod run	public void run()
{	{
JFrame frame = new  SwingDnDFrame;	JFrame frame = new SwingDnDFrame();
frame.setDefaultCloseOperationJFrame.EXIT_ONCLOSE;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisbletrue	frame.setVisible(true);
}	}
1	});
f	}
	}
class SwingDnDFrame  extends JFrame	class SwingDnDFrame extends JFrame
{	{
pulic SwingDnDFrame	public SwingDnDFrame()
{	{
setTitle"wingDnDTest";;	setTitle("SwingDnDTest");
JTabbedPane tabbedPane   ew JTabbedPane;	JTabbedPane tabbedPane = new JTabbedPane();
JList list = SampleComponnts.lisl;	JList list = SampleComponents.list();
tabbedPane.ddTab"List", list;	tabbedPane.addTab("List", list);
JTable table = SampleComponents.table;	JTable table = SampleComponents.table();
tabbedPane.addTa"Table, table;	tabbedPane.addTab("Table", table);
JTree tree  SampleComponents.tree;;	JTree tree = SampleComponents.tree();
tabbedPane.addTab""Tree", tree;	tabbedPane.addTab("Tree", tree);
JFileChooser fileChooser = new JFileChooser;	JFileChooser fileChooser = new JFileChooser();
tabbedPane.addTab"File  Chooser", fieChooser;	tabbedPane.addTab("File Chooser", fileChooser);
JColorChooser colorChooser = new JColorChooser;	JColorChooser colorChooser = new JColorChooser();
tabbedPane..addTab"Color Chooser", colorChooser;	tabbedPane.addTab("Color Chooser", colorChooser);
final JTextArea textArea= new JTextArea4,40;	final JTextArea textArea = new JTextArea(4, 40);
JScrollPane scrollPane= new JScrollPanetextArea;	JScrollPane scrollPane = new JScrollPane(textArea);
scrollPane.setBordernew TitledBordernew EtchedBorderf,, ""Drag  text here"";	scrollPane.setBorder(new TitledBorder(new EtchedBorder(), "Drag text here"));
JTextField textField = new JTextField"Drag colorhere";	JTextField textField = new JTextField("Drag color here");
textField.setTransferHandlernew TransferHandler"background";	textField.setTransferHandler(new TransferHandler("background"));
	
tabbedPne.addChangeListenernew ChangeListener	tabbedPane.addChangeListener(new ChangeListener()
{	{
public  void stateChangedChangeEvent e	public void stateChanged(ChangeEvent e)
{	{
txAra.setTextf""";	textArea.setText("");
}	}
;	});
tree.setDragEnabledtrue;;	tree.setDragEnabled(true);
tble.setDragEnabledltrue;	table.setDragEnabled(true);
list.setDragEnabledtrue	list.setDragEnabled(true);
fileChooser..setDragEnabledtrue;	fileChooser.setDragEnabled(true);
colorChooser.setDragEnabledltue;	colorChooser.setDragEnabled(true);
extField.setDragEnabledtru;	textField.setDragEnabled(true);
ddtabbedPane, BorderLayout.NORTH;	add(tabbedPane, BorderLayout.NORTH);
addlscrollPane BorderLaout.CENTERf;	add(scrollPane, BorderLayout.CENTER);
addtextField,, BorderLayout.SOUTHl;	add(textField, BorderLayout.SOUTH);
packf;	pack();
}	}
}	}
